══════════════════════════════════════════
DANH SÁCH TẤT CẢ CHILDREN TRONG C400:
══════════════════════════════════════════
      c-400 | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      BladeCCW.013 | LocalRot=(44.9, 94.0, 275.6) | LocalScale=(100.0, 100.0, 100.0)
      BladeCCW.014 | LocalRot=(0.0, 90.0, 274.0) | LocalScale=(100.0, 100.0, 100.0)
      BladeCCW.015 | LocalRot=(315.1, 86.0, 275.6) | LocalScale=(100.0, 100.0, 100.0)
      BladeCW | LocalRot=(274.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      BladeCW.001 | LocalRot=(315.1, 274.0, 84.4) | LocalScale=(100.0, 100.0, 100.0)
      BladeCW.002 | LocalRot=(0.0, 270.0, 86.0) | LocalScale=(100.0, 100.0, 100.0)
      BladeCW.003 | LocalRot=(44.9, 266.0, 84.4) | LocalScale=(100.0, 100.0, 100.0)
      BladeCW.004 | LocalRot=(86.0, 180.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      BladeCW.005 | LocalRot=(44.9, 94.0, 275.6) | LocalScale=(100.0, 100.0, 100.0)
      BladeCW.006 | LocalRot=(0.0, 90.0, 274.0) | LocalScale=(100.0, 100.0, 100.0)
      BladeCW.007 | LocalRot=(315.1, 86.0, 275.6) | LocalScale=(100.0, 100.0, 100.0)
      BladeCW.008 | LocalRot=(274.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      BladeCW.009 | LocalRot=(315.1, 274.0, 84.4) | LocalScale=(100.0, 100.0, 100.0)
      BladeCW.010 | LocalRot=(0.0, 270.0, 86.0) | LocalScale=(100.0, 100.0, 100.0)
      BladeCW.011 | LocalRot=(44.9, 266.0, 84.4) | LocalScale=(100.0, 100.0, 100.0)
      BladeCW.012 | LocalRot=(86.0, 180.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      BladeCW.013 | LocalRot=(44.9, 94.0, 275.6) | LocalScale=(100.0, 100.0, 100.0)
      BladeCW.014 | LocalRot=(0.0, 90.0, 274.0) | LocalScale=(100.0, 100.0, 100.0)
      BladeCW.015 | LocalRot=(315.1, 86.0, 275.6) | LocalScale=(100.0, 100.0, 100.0)
      Body | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      Bulkhead | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      Buttons | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      CargoDoor | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      CargoDoor/CargoDoorInner | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      CargoRamp | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      CargoRamp/CargoRampInner | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      CargoRamp/RampRods | LocalRot=(5.6, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      CargoSpace | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
[GHE] CargoSpace/CargoChairs | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
[GHE] CargoSpace/CargoChairsCushionsL | LocalRot=(0.0, 285.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
[GHE] CargoSpace/CargoChairsCushionsR | LocalRot=(0.0, 75.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      CargoSpace/RampCylinders | LocalRot=(5.6, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      Cockpit | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      DoorCockpit | LocalRot=(270.0, 240.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      DoorMain | LocalRot=(270.0, 5.3, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      DoorMain/DoorMainInner | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      DoorParaL | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      DoorParaL/DoorParaInnerL | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      DoorParaL/DoorParaLWindow | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      DoorParaLStep | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      DoorParaR | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      DoorParaR/DoorParaInnerR | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      DoorParaR/DoorParaRWindow | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      DoorParaRStep | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      DoorSmallR | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      DoorSmallR/DoorSmallInnerR | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      DoorSmallR/DoorSmallRWindow | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      ElevatorLMesh | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      ElevatorRMesh | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      Engine1 | LocalRot=(274.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      Engine1/Propeller1 | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      Engine2 | LocalRot=(274.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      Engine2/Propeller2 | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      Engine3 | LocalRot=(274.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      Engine3/Propeller3 | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      Engine4 | LocalRot=(274.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      Engine4/Propeller4 | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      EngineBttn1 | LocalRot=(330.0, 180.0, 180.0) | LocalScale=(100.0, 100.0, 100.0)
      EngineBttn2 | LocalRot=(330.0, 180.0, 180.0) | LocalScale=(100.0, 100.0, 100.0)
      EngineBttn3 | LocalRot=(330.0, 180.0, 180.0) | LocalScale=(100.0, 100.0, 100.0)
      EngineBttn4 | LocalRot=(330.0, 180.0, 180.0) | LocalScale=(100.0, 100.0, 100.0)
      FlapsLever | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      FlapsLMesh | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      FlapsRMesh | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      FuelDoorMesh | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      GearLeftAssembly | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      GearLeftAssembly/GearLeft1 | LocalRot=(40.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      GearLeftAssembly/GearLeft1/WheelLargeL | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      GearLeftAssembly/GearLeft1/WheelLargeR | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      GearLeftAssembly/GearLeft2 | LocalRot=(40.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      GearLeftAssembly/GearLeft2/WheelLargeL.001 | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      GearLeftAssembly/GearLeft2/WheelLargeR.001 | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      GearLeftAssembly/GearLeft3 | LocalRot=(40.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      GearLeftAssembly/GearLeft3/WheelLargeL.002 | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      GearLeftAssembly/GearLeft3/WheelLargeR.002 | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      GearLever | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      GearNose | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      GearNose/DirGearNose | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      GearNose/DirGearNose/WheelMedL | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      GearNose/DirGearNose/WheelMedR | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      GearRightAssembly | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      GearRightAssembly/GearRight1 | LocalRot=(40.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      GearRightAssembly/GearRight1/WheelLargeL.003 | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      GearRightAssembly/GearRight1/WheelLargeR.003 | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      GearRightAssembly/GearRight2 | LocalRot=(40.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      GearRightAssembly/GearRight2/WheelLargeL.004 | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      GearRightAssembly/GearRight2/WheelLargeR.004 | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      GearRightAssembly/GearRight3 | LocalRot=(40.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      GearRightAssembly/GearRight3/WheelLargeL.005 | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      GearRightAssembly/GearRight3/WheelLargeR.005 | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      HatchBack | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      HatchBack/HatchBackInner | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      HatchFront | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      HatchFront/HatchFrontInner | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      HUDGlassL | LocalRot=(286.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      HUDGlassL/Glass | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      HUDGlassR | LocalRot=(286.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      HUDGlassR/Glass 1 | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      ModelRampExtension | LocalRot=(30.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      Nose | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      ParkingBrake | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      PedalsL | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      PedalsR | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      RefuelingPodL | LocalRot=(273.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      RefuelingPodL/DrogueL | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      RefuelingPodR | LocalRot=(273.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      RefuelingPodR/DrogueR | LocalRot=(0.0, 0.0, 0.0) | LocalScale=(1.0, 1.0, 1.0)
      RudderMesh | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      ScreensBack | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      SpoilerLMesh | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      SpoilerRMesh | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      StickL | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      StickR | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      Tail | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      ThrottleHandle1 | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      ThrottleHandle2 | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      ThrottleHandle3 | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      ThrottleHandle4 | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      Windows | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      WingL | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
      WingR | LocalRot=(270.0, 0.0, 0.0) | LocalScale=(100.0, 100.0, 100.0)
══════════════════════════════════════════
Tổng children: 145 | Tổng ghế tìm thấy: 3
══════════════════════════════════════════
